CODE;NAME;STAT_ID;LAT;LON;ALT;NETWORK
5208;SART-BERNARD;503;50.399;4.954;260;CLIM RR
5211;HUMAIN AWS;624;50.194;5.257;296;CLIM RR
5213;BONCELLES;1298;50.567;5.536;264;CLIM RR
5300;ROCHEFORT;326;50.176;5.224;193;CLIM RR
5305;HOUYET;332;50.191;5.008;118;CLIM RR
5403;WALHORN;337;50.698;6.035;220;CLIM RR
5501;S GRAVENVOEREN;341;50.75;5.748;110;CLIM RR
5502;STEMBERT;456;50.596;5.905;290;CLIM RR
5602;SPA-LA SAUVENIERE;348;50.479;5.911;482;CLIM RR
5603;STAVELOT;349;50.398;5.936;320;CLIM RR
5605;ELSENBORN;352;50.483;6.182;570;CLIM RR
5609;ROBERTVILLE;357;50.452;6.108;526;CLIM RR
5619;SOURBRODT;664;50.476;6.126;575;CLIM RR
5620;ELSENBORN;1329;50.454;6.214;616;CLIM RR
5701;MONT RIGI AWS;626;50.512;6.075;673;CLIM RR
5702;HESTREUX;360;50.571;6.036;448;CLIM RR
5703;HOCKAI;361;50.484;5.989;574;CLIM RR
5809;GEROMONT;376;50.41;6.055;440;CLIM RR
5810;MURRINGEN;379;50.408;6.31;658;CLIM RR
5811;NEIDINGEN;458;50.252;6.148;420;CLIM RR
6100;HIVES;389;50.152;5.583;398;CLIM RR
6103;GOUVY;392;50.191;5.954;458;CLIM RR
6104;RACHAMPS;393;50.084;5.789;434;CLIM RR
6200;NADRIN;394;50.159;5.681;405;CLIM RR
6210;GIVRY;502;50.061;5.642;400;CLIM RR
6211;CHEOUX;189;50.216;5.468;270;CLIM RR
6214;MOMIGNIES;619;50.021;4.16;255;CLIM RR
6300;FORGES;497;49.982;4.34;318;CLIM RR
6302;BIEVRE;410;49.94;5.012;376;CLIM RR
6508;PRESGAUX;465;50.019;4.426;314;CLIM RR
6510;MASSUL;601;49.878;5.504;470;CLIM RR
6600;SUGNY;384;49.816;4.9;375;CLIM RR
6601;WITRY;385;49.858;5.613;470;CLIM RR
6701;LACUISINE;431;49.712;5.324;298;CLIM RR
6802;AUBANGE;441;49.572;5.8;298;CLIM RR
6807;BUZENOL AWS;653;49.621;5.589;324;CLIM RR
6811;FRASSEM;459;49.701;5.826;388;CLIM RR
6812;MEIX-DEVANT-VIRTON;460;49.606;5.48;252;CLIM RR
6813;ATTERT;1332;49.763;5.762;360;CLIM RR
6815;ROSSIGNOL;629;49.724;5.488;360;CLIM RR
6816;CHENOIS;1147;49.562;5.548;226;CLIM RR
101;KNOKKE-HEIST;4;51.337;3.327;4;CLIM TT
102;KOKSIJDE;5;51.089;2.654;9;CLIM TT
103;MIDDELKERKE;2;51.199;2.853;5;CLIM TT
106;ZEEBRUGGE AWS;774;51.349;3.196;8;CLIM TT
199;ZELE;29;51.057;4.043;5;CLIM TT
200;DEURNE;24;51.192;4.453;14;CLIM TT
204;Stabroek;1225;51.326;4.365;5;CLIM TT
207;MOERE;15;51.122;2.967;5;CLIM TT
208;POLLINKHOVE;21;50.958;2.737;6;CLIM TT
209;BEERST;762;51.053;2.895;3;CLIM TT
210;BASSEVELDE;632;51.223;3.667;5;CLIM TT
212;DE KLINGE;768;51.258;4.095;5;CLIM TT
214;WATERLAND-OUDEMAN;1142;51.277;3.601;1;CLIM TT
304;ROESELARE;56;50.943;3.127;18;CLIM TT
306;LEMBERGE;61;50.983;3.779;28;CLIM TT
307;POPERINGE;60;50.862;2.741;12;CLIM TT
309;Wevelgem;65;50.818;3.168;19;CLIM TT
310;LICHTERVELDE;58;51.025;3.119;25;CLIM TT
311;ZOMERGEM;59;51.11;3.564;13;CLIM TT
312;ASSEBROEK;447;51.199;3.27;5;CLIM TT
315;ZELZATE AWS;628;51.181;3.809;8;CLIM TT
317;BEITEM AWS;663;50.905;3.123;25;CLIM TT
318;KEMMEL;761;50.914;2.625;12;CLIM TT
